,path,GT,spanish
21,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0029.wav,no se que hacer,no se que hacer.
22,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0031.wav,acá,
23,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0032.wav,pero es,
24,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0033.wav,todo lo que esta dentro,todo lo que está dentro.
25,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0034.wav,hazlo uno,Hazlo uno.
26,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0035.wav,y todo lo que esta,todo lo que está.
27,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0037.wav,un cero,
28,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0038.wav,cero,
29,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0039.wav,lo de afuera,lo de fuera.
30,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0040.wav,claro,
31,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0041.wav,con un solo color,Como sólo con los
32,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0042.wav,va a ser como la sombra,va a ser como la sombra.
33,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0044.wav,me entiendes,entiendes?
34,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0045.wav,esta parte,Se aparte.
35,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0046.wav,todo,
36,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0048.wav,con un color,con la
37,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0050.wav,si,
38,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0051.wav,para todo,para todos.
39,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0052.wav,incluido el fondo,incluido el Fondo.
40,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0053.wav,así que,
41,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0054.wav,toda la espada de un solo color,toda la espada de un solo
42,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0055.wav,a ver,a ver.
43,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0056.wav,esta,
44,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0057.wav,ya,
45,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0058.wav,esta parte,Esta fuerte.
46,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0059.wav,que mas,que no.
47,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0060.wav,ya,
48,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0061.wav,ahora,
49,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0062.wav,para arriba,
50,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0063.wav,ahora,
51,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0065.wav,la parte,la parte.
52,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0067.wav,recuerda,
53,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0068.wav,un solo color para todo,Un solo para ti.
54,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0069.wav,aquí,
55,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0071.wav,sube,
56,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0072.wav,o sea,
57,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0074.wav,si,
58,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0075.wav,sube nomas,lo veremos.
59,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0079.wav,y esta parte,esta parte.
60,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0081.wav,ahí,
61,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0083.wav,el otro extremo,lo que usted no.
62,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0086.wav,claro,
63,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0087.wav,y ahí juntalo,y hay contra los
64,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0088.wav,este este,este este.
65,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0089.wav,ya,
66,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0090.wav,los tres,
67,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0091.wav,tres,
68,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0092.wav,y este de acá,Ya estoy acá.
69,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0093.wav,queda,
70,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0094.wav,si quieres metele una mas acá,si quieres meterte una masa cada
71,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0096.wav,claro,
72,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0098.wav,reflejo,
73,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0099.wav,bueno has lo que tu quieras la verdad,"bueno, a lo que tú quieras."
74,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0100.wav,esta parte,Esta fuerte.
75,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0103.wav,ahora acuérdate,Ahora. Acuérdate.
76,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0104.wav,lo que esta,
77,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0105.wav,esto es blanco,Estoy Blanco.
78,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0106.wav,y esto es,
79,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0107.wav,así que,
80,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0108.wav,traigamos eso de ahí,"digamos, es hoy."
81,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0109.wav,como,
82,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0110.wav,esta parte,Esta fuerte.
83,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0111.wav,como el ocho,como el ocho.
84,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0112.wav,uno,
85,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0113.wav,si mira,
86,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0114.wav,por ejemplo,
87,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0115.wav,esta parte la quieres blanca o negra,"esta parte de quienes, blanca o negra,"
88,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0117.wav,blanca,
89,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0118.wav,ya entendí,Tengo una
90,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0119.wav,claro,
91,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0120.wav,le tengo que poner el cero,tengo que poner el cero.
92,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0121.wav,y en las partes,las partes.
93,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0122.wav,y en esta,
94,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0123.wav,tengo que poner,yo quiero que me
95,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0124.wav,en el seis,En el seis.
96,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0125.wav,uno,
97,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0127.wav,aquí va a estar igual,Estoy bastar igual.
98,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0128.wav,sabes que,sabes que
99,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0129.wav,mira,
100,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0130.wav,este código,Este código.
101,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0133.wav,así que,así que
102,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0135.wav,ta bien,
103,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0136.wav,hazlo al revés,al revés.
104,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0138.wav,en vez de uno pon cero,Me uno con su
105,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0139.wav,has la prueba mira,En la prueba.
106,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0142.wav,blanco,
107,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0144.wav,si le ponemos cero que pasa,si le ponemos lo que pasa.
108,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0145.wav,seguir blanco,de los blancos.
109,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0147.wav,o sea que tengo que poner,O sea que tengo que poner
110,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0148.wav,el uno,
111,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0150.wav,uno,
112,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0151.wav,y los ceros,y no se
113,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0153.wav,exacto,exacto.
114,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0155.wav,los unos,Los uno.
115,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0158.wav,para sacar el color,para sacar el color.
116,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0159.wav,cero,
117,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0160.wav,como para poner el color,para poner el color.
118,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0165.wav,quien sabe,La Ser.
119,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0166.wav,si quieres,si quieres.
120,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0167.wav,ver la imagen,ver la imagen.
121,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0168.wav,tanto,
122,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0169.wav,ponle acá,
123,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0172.wav,te llamaron a ti,Ganaron a ti.
124,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0173.wav,y tu que haces,en tu casa.
125,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0174.wav,la espada,Las todas.
126,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0175.wav,si,
127,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0176.wav,vas a ver,
128,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0177.wav,es mejor la mía que la tuya,mejoramiento DE LA tuya.
129,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0178.wav,mira ves que esta quedando bien,"Mira, ves que está quedando bien?"
130,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0179.wav,que paso,
131,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0180.wav,cuantos años tiene,
132,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0181.wav,estatura,cultura.
133,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0182.wav,no,
134,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0183.wav,como van chicos,Hoyos.
135,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0184.wav,que es eso,eso.
136,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0185.wav,muy interesante,muy interesante.
137,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0186.wav,diez por diez,diez por diez.
138,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0188.wav,dile que si quiere por mientras ver la imagen,y le pedí que queremos mientras duerme mal.
139,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0192.wav,pa que vea la imagen,tenía la imagen.
140,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0193.wav,no el ya sabe,hay que saber.
141,/home/luis/Dropbox/DATASETS_AUDIO/AOLME/WAVs/Spanish/Testset_440_checked/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_0194.wav,bueno no sabe,"Bueno, no sabes?"
