path,GT,bilingual
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_082.wav,ones and zeros,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_083.wav,not until you finish this,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_084.wav,what is the computer number,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_085.wav,one zero one,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_088.wav,ten to x,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_090.wav,i think five,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_091.wav,its only four letters okey,I turned onto a 64.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_092.wav,you gonna do e a,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_093.wav,you are not supposed to click,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_095.wav,when you want to,Aragón saben in algo?
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_096.wav,its two three or two,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_098.wav,zero to two fifty five,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_099.wav,four,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_101.wav,so what is it happening,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_103.wav,seven one one zero,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_104.wav,can you stop google,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_105.wav,it goes from zero to f f,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_108.wav,column six row four,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_112.wav,alright do yours first,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_113.wav,talking something about timers,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_114.wav,you can do whatever you want,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_03-07_English_115.wav,the computer,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_04-07_English_005.wav,they like these words,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_04-07_English_006.wav,you how we learn,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_04-07_English_007.wav,my sister,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_04-07_English_009.wav,is it true or false,Hector's gonna get the ec.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_04-07_English_010.wav,talking about,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_04-07_English_011.wav,what zero you are talking about,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_04-07_English_013.wav,okey zero zero one one,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_04-07_English_015.wav,shes nine,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_04-07_English_019.wav,binary is what be na ry,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_04-07_English_023.wav,so it can be like usually this can be like one between,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_04-07_English_024.wav,now we do this one right what you doing,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_04-07_English_026.wav,binary,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_04-07_English_027.wav,can i do mine,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_04-07_English_029.wav,i need a marker,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_06-07_English_002.wav,what was the question again,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_06-07_English_003.wav,x is one,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_06-07_English_006.wav,in the last one,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_06-07_English_008.wav,ask your name,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_06-07_English_009.wav,i turned on the sixty four,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_06-07_English_012.wav,alright so now we push,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_06-07_English_017.wav,totally check to see,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_06-07_English_018.wav,it does work,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_06-07_English_020.wav,the abacus is on the computer,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_06-07_English_022.wav,gonna happen,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_06-07_English_024.wav,four cero right here right,Because once you get into hexagon.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_06-07_English_025.wav,mess with actual pictures,Do you see how there's 255?
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_06-07_English_027.wav,if x is equal to ten,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_06-07_English_028.wav,printing x,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_06-07_English_030.wav,¿what time is it,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_06-07_English_032.wav,how did you like math,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C1L1P-Apr06-E-Irma_q2_06-07_English_036.wav,typed a ol me,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_001.wav,is just like,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_002.wav,one representes white,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_003.wav,crazy which it,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_004.wav,it should be capital,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_005.wav,binary numbers,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_006.wav,whatever goes to the,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_008.wav,i know what im gonna do,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_009.wav,so three cero right,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_010.wav,should be on top,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_011.wav,whatever you type,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_012.wav,and theyre gonna give you,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_013.wav,you have given here hi,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_014.wav,what are your initials,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_015.wav,it creates,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_016.wav,do you see the abacus uhh you have mario,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_017.wav,twenty five,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_018.wav,if i dont get that,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_020.wav,did did you got to the end,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_022.wav,oh really,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_023.wav,if i do like this,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_024.wav,dont be shy,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_029.wav,x is five,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_031.wav,numbers for,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_032.wav,and this,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_033.wav,my mom and my dog,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_034.wav,hello name,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_035.wav,its going to,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_037.wav,okey lets try zero one,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_038.wav,all the way up to nine,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_039.wav,love math so much,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_040.wav,bless you,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_041.wav,base ten okay,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_042.wav,ok row zero to fifteen to sexteen,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_044.wav,you see how theres two fifty five,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_045.wav,go to the computer,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_046.wav,i handed you,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_048.wav,its called racism,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_050.wav,in the computer,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_051.wav,multiply by three,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_052.wav,base ten,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_053.wav,want to know your name,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_054.wav,ready,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_055.wav,do that or not,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_056.wav,thirty two,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_057.wav,anything you want to see,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_058.wav,its going to say,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_059.wav,whats extremely bright,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_060.wav,i know is weird,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_061.wav,do this tomorrow,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_062.wav,that means two so it menas its base two okay,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_063.wav,color spectrum,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_065.wav,its an another computer telling us the coordinates,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_067.wav,you can think of it like when we wanna turn this off and when we wanna turn it on so its like a switch,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_068.wav,oh okay i get it,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_069.wav,i cant see it,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_071.wav,wait zero one two three,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_072.wav,last name,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_074.wav,its capital,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_075.wav,what is your name,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_079.wav,one two three,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_081.wav,so you can do this one was one,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_083.wav,whatever you type,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_086.wav,so finish this,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_087.wav,not ten divided by two,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_088.wav,whatever you want to,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_089.wav,i need help,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_090.wav,did you get it,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_091.wav,my brother and my mom,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_092.wav,do zero f,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_093.wav,row one two three etc,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_094.wav,what is your name,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_096.wav,ten plus ten plus ten,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_098.wav,binary,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_099.wav,so the first zero have four zeros,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_100.wav,power exactly i wanna ask,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_103.wav,any of these red letters,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_104.wav,tell her to put it here and then all three can,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/G-C2L1P-Apr12-A-Allan_q2_02-05_Spanish_105.wav,watch a movie,
