path,GT,bilingual
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Apr19-D-Chaitu_q2_03-05_English_001.flac,row two,is there a road to
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C1L1P-Apr06-E-Irma_q2_03-07_English_032.flac,seventy two,72
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Feb23-B-Shelby_03-06_English_191.flac,what is your name,what is your name
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C3L1P-Apr04-C-Phuong_02-05_English_075.flac,i dont think they know what they mean by that,I don't think you know what I mean
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C3L1P-Apr04-C-Phuong_02-05_English_004.flac,so we are gonna have two,not going to happen.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Mar08-D-Chaitu_q2_02-05_English_129.flac,for the thing you want to ask,for the things you want to ask
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C1L1P-Apr06-E-Irma_q2_03-07_English_058.flac,there you go,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C1L1P-Apr06-E-Irma_q2_03-07_English_047.flac,next week,exactly
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C3L1P-Apr04-C-Phuong_02-05_English_040.flac,they represent the same as these digits,play Dance represent
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Mar08-D-Chaitu_q2_02-05_English_137.flac,so it doesnt know,play.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Mar08-D-Chaitu_q2_03-05_English_032.flac,for this i give hi,for this I give High
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Apr19-A-Allan_q2_04-05_English_028.flac,go ahead and look at the last one,go ahead and look at the last one
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Feb23-B-Shelby_02-06_English_039.flac,piece of paper,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Mar08-D-Chaitu_q2_02-05_English_050.flac,what can you change,what Can you tame
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Feb23-B-Shelby_03-06_English_152.flac,add numbers,at number
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Feb23-B-Shelby_03-06_English_135.flac,pressed it,Preston
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Mar08-D-Chaitu_q2_03-05_English_088.flac,ten plus ten,10 + 10
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Feb23-B-Shelby_02-06_English_065.flac,each one of these,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Mar08-D-Chaitu_q2_02-05_English_024.flac,it just prints it,you just print it
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Apr19-A-Allan_q2_05-05_English_001.flac,cause zero zero is black,200s black
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C1L1P-Apr06-E-Irma_q2_04-07_English_015.flac,you gonna do a d,we're going to do 8
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/IS-C1L1P_Apr27_Jose_01-01_English_003.flac,ones and zeros,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C1L1P-Apr06-E-Irma_q2_03-07_English_013.flac,not until you finish this,17 * 4
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C3L1P-Apr04-C-Phuong_02-05_English_010.flac,what is the computer number,what is a computer
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/IS-C1L1P_Apr27_Mathew_01-01_English_012.flac,one zero one,101
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Mar08-D-Chaitu_q2_01-05_English_061.flac,ten to x,10 to 8
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Mar08-D-Chaitu_q2_01-05_English_098.flac,i think five,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Apr19-D-Chaitu_q2_03-05_English_000.flac,its only four letters okey,it's only four letters
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C1L1P-Apr06-E-Irma_q2_04-07_English_013.flac,you gonna do e a,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C1L1P-Apr06-E-Irma_q2_03-07_English_016.flac,you are not supposed to click,am I supposed to say
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Mar08-D-Chaitu_q2_02-05_English_002.flac,when you want to,21
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Apr19-D-Chaitu_q2_02-05_English_005.flac,its two three or two,302
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/IS-C1L1P_May06_Draven_01-01_English_011.flac,zero to two fifty five,CO2 is Justified
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C3L1P-Apr04-C-Phuong_04-05_English_007.flac,four,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Mar08-D-Chaitu_q2_04-05_English_143.flac,so what is it happening,so what is it that bad
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C3L1P-Apr04-C-Phuong_02-05_English_051.flac,seven one one zero,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Mar08-D-Chaitu_q2_01-05_English_004.flac,can you stop google,can you spell Google
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C1L1P-Apr06-E-Irma_q2_04-07_English_026.flac,it goes from zero to f f,play Coast 102 FM
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Apr19-D-Chaitu_q2_04-05_English_009.flac,column six row four,how long does it take to grow corn
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C1L1P-Apr06-E-Irma_q2_03-07_English_104.flac,alright do yours first,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C1L1P-Apr06-E-Irma_q2_03-07_English_008.flac,talking something about timers,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Mar08-D-Chaitu_q2_04-05_English_226.flac,you can do whatever you want,you can do whatever you want
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Feb23-B-Shelby_03-06_English_387.flac,the computer,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Feb23-B-Shelby_03-06_English_180.flac,they like these words,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C3L1P-Apr04-C-Phuong_02-05_English_036.flac,you how we learn,Janelle Holloway
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C1L1P-Apr06-E-Irma_q2_03-07_English_041.flac,my sister,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C3L1P-Apr04-C-Phuong_02-05_English_028.flac,is it true or false,is it true or false
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C1L1P-Apr06-E-Irma_q2_03-07_English_037.flac,talking about,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Apr19-A-Allan_q2_03-05_English_005.flac,what zero you are talking about,what's up are you talkin about 1
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Apr19-A-Allan_q2_04-05_English_027.flac,okey zero zero one one,okay zero zero one one
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C1L1P-Apr06-E-Irma_q2_03-07_English_042.flac,shes nine,is 9
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C3L1P-Apr04-C-Phuong_04-05_English_015.flac,binary is what be na ry,binary is what
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C3L1P-Apr04-C-Phuong_02-05_English_065.flac,so it can be like usually this can be like one between,usually just me
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C3L1P-Apr04-C-Phuong_04-05_English_046.flac,now we do this one right what you doing,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C3L1P-Apr04-C-Phuong_02-05_English_073.flac,binary,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Mar08-D-Chaitu_q2_04-05_English_223.flac,can i do mine,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C1L1P-Apr06-E-Irma_q2_06-07_English_032.flac,i need a marker,money marker
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Mar08-D-Chaitu_q2_01-05_English_069.flac,what was the question again,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Mar08-D-Chaitu_q2_03-05_English_072.flac,x is one,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C1L1P-Apr06-E-Irma_q2_03-07_English_096.flac,in the last one,in the last boy
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Mar08-D-Chaitu_q2_02-05_English_058.flac,ask your name,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C1L1P-Apr06-E-Irma_q2_03-07_English_091.flac,i turned on the sixty four,I turn on the 64
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Feb23-B-Shelby_03-06_English_224.flac,alright so now we push,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C1L1P-Apr06-E-Irma_q2_06-07_English_002.flac,totally check to see,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C1L1P-Apr06-E-Irma_q2_03-07_English_018.flac,it does work,it does work
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C3L1P-Apr04-C-Phuong_04-05_English_000.flac,the abacus is on the computer,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Feb23-B-Shelby_02-06_English_055.flac,gonna happen,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Apr19-A-Allan_q2_04-05_English_025.flac,four cero right here right,born here right here right
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C1L1P-Apr06-E-Irma_q2_03-07_English_051.flac,mess with actual pictures,actual picture
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Mar08-D-Chaitu_q2_01-05_English_058.flac,if x is equal to ten,exit Google.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Mar08-D-Chaitu_q2_01-05_English_059.flac,printing x,Reading Eggs
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C3L1P-Apr04-C-Phuong_03-05_English_013.flac,¿what time is it,what time is it
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/IS-C1L1P_Apr27_Mathew_01-01_English_015.flac,how did you like math,how did you like my
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Mar08-D-Chaitu_q2_01-05_English_029.flac,typed a ol me,type
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Mar08-D-Chaitu_q2_03-05_English_017.flac,is just like,you just like
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Apr19-A-Allan_q2_04-05_English_001.flac,one representes white,1 represents White
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C3L1P-Apr04-C-Phuong_03-05_English_029.flac,crazy which it,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Mar08-D-Chaitu_q2_03-05_English_111.flac,it should be capital,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/IS-C1L1P_Apr27_Mathew_01-01_English_005.flac,binary numbers,binary numbers
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Mar08-D-Chaitu_q2_02-05_English_046.flac,whatever goes to the,whatever
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C1L1P-Apr06-E-Irma_q2_04-07_English_027.flac,i know what im gonna do,I know what I'm going to do
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Apr19-A-Allan_q2_04-05_English_023.flac,so three cero right,230 right
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Mar08-D-Chaitu_q2_04-05_English_232.flac,should be on top,Bianca
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Mar08-D-Chaitu_q2_01-05_English_086.flac,whatever you type,what about you
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Feb23-B-Shelby_02-06_English_122.flac,and theyre gonna give you,they're going to give
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Mar08-D-Chaitu_q2_03-05_English_040.flac,you have given here hi,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C1L1P-Apr06-E-Irma_q2_04-07_English_006.flac,what are your initials,what are your initials
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Feb23-B-Shelby_03-06_English_052.flac,it creates,create
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C3L1P-Apr04-C-Phuong_04-05_English_004.flac,do you see the abacus uhh you have mario,okay do you see if I can do you have Mario
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C1L1P-Apr06-E-Irma_q2_06-07_English_012.flac,twenty five,25
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Feb23-B-Shelby_02-06_English_029.flac,if i dont get that,if I don't get the
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C3L1P-Apr04-C-Phuong_02-05_English_034.flac,did did you got to the end,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C3L1P-Apr04-C-Phuong_02-05_English_012.flac,oh really,oh really what are they
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Mar08-D-Chaitu_q2_04-05_English_138.flac,if i do like this,I do like this
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Feb23-B-Shelby_02-06_English_183.flac,dont be shy,don't be shy
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Mar08-D-Chaitu_q2_02-05_English_010.flac,x is five,it is 5
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/IS-C1L1P_May06_Draven_01-01_English_005.flac,numbers for,number is 4
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Mar08-D-Chaitu_q2_03-05_English_013.flac,and this,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C1L1P-Apr06-E-Irma_q2_03-07_English_038.flac,my mom and my dog,I'm on my dog
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Mar08-D-Chaitu_q2_02-05_English_114.flac,hello name,bologna
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Mar08-D-Chaitu_q2_03-05_English_034.flac,its going to,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Apr19-A-Allan_q2_04-05_English_037.flac,okey lets try zero one,okay let's try silver one
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C1L1P-Apr06-E-Irma_q2_03-07_English_026.flac,all the way up to nine,I will have tonight
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C1L1P-Apr06-E-Irma_q2_06-07_English_020.flac,love math so much,I love math so much
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C1L1P-Apr06-E-Irma_q2_03-07_English_029.flac,bless you,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C3L1P-Apr04-C-Phuong_02-05_English_080.flac,base ten okay,Phase 10 card game
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C3L1P-Apr11-C-Phuong_q2_01-05_English_000.flac,ok row zero to fifteen to sexteen,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C1L1P-Apr06-E-Irma_q2_06-07_English_025.flac,you see how theres two fifty five,do you see how there's 2:55
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Apr19-D-Chaitu_q2_04-05_English_010.flac,go to the computer,Back to the Future
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Feb23-B-Shelby_02-06_English_035.flac,i handed you,102
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C1L1P-Apr06-E-Irma_q2_03-07_English_045.flac,its called racism,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C1L1P-Apr06-E-Irma_q2_06-07_English_008.flac,in the computer,in the computer
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Mar08-D-Chaitu_q2_04-05_English_128.flac,multiply by three,X
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C3L1P-Apr04-C-Phuong_02-05_English_079.flac,base ten,Phase 10
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Mar08-D-Chaitu_q2_02-05_English_074.flac,want to know your name,I want to know your name
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C3L1P-Apr04-C-Phuong_04-05_English_040.flac,ready,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Mar08-D-Chaitu_q2_03-05_English_151.flac,do that or not,2.
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Apr19-D-Chaitu_q2_02-05_English_006.flac,thirty two,Benito
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Mar08-D-Chaitu_q2_01-05_English_013.flac,anything you want to see,anything you want to say
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Mar08-D-Chaitu_q2_03-05_English_026.flac,its going to say,20
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C1L1P-Apr06-E-Irma_q2_04-07_English_023.flac,whats extremely bright,with extremely bright
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C1L1P-Apr06-E-Irma_q2_03-07_English_009.flac,i know is weird,I know it's weird
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C1L1P-Apr06-E-Irma_q2_03-07_English_046.flac,do this tomorrow,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C3L1P-Apr04-C-Phuong_02-05_English_061.flac,that means two so it menas its base two okay,Sid
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/IS-C1L1P_May06_Draven_01-01_English_004.flac,color spectrum,color spectrum
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Apr19-D-Chaitu_q2_05-05_English_000.flac,its an another computer telling us the coordinates,go to another computer telling of The Cordon
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C3L1P-Apr04-C-Phuong_04-05_English_050.flac,you can think of it like when we wanna turn this off and when we wanna turn it on so its like a switch,you can think of it like what I do. When we want to turn this off and when we wanted to
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C1L1P-Apr06-E-Irma_q2_04-07_English_011.flac,oh okay i get it,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Mar08-D-Chaitu_q2_02-05_English_113.flac,i cant see it,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C3L1P-Apr11-C-Phuong_q2_03-05_English_018.flac,wait zero one two three,01
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Mar08-D-Chaitu_q2_02-05_English_118.flac,last name,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Mar08-D-Chaitu_q2_01-05_English_027.flac,its capital,scaffold
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Mar08-D-Chaitu_q2_02-05_English_057.flac,what is your name,what is your name
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Mar08-D-Chaitu_q2_01-05_English_038.flac,one two three,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Apr19-A-Allan_q2_02-05_English_023.flac,so you can do this one was one,chicken noodle this one was the one
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C2L1P-Mar08-D-Chaitu_q2_02-05_English_034.flac,whatever you type,
/home/luis/Dropbox/DATASETS_AUDIO/AOLME_bilingual/WAVS/flac_audios/G-C1L1P-Apr06-E-Irma_q2_03-07_English_012.flac,so finish this,
